Naam openbare ruimte;Huisnummer;Huisletter;Huisnummertoevoeging;Postcode;Woonplaats;Naam stadsdeel;Code stadsdeel;Naam gebiedsgerichtwerkengebied;Code gebiedsgerichtwerkengebied;Naam Wijk;Code Wijk;Naam buurt;Code buurt;Code bouwblok;X-coordinaat (RD);Y-coordinaat (RD);Latitude (WGS84);Longitude (WGS84);Indicatie hoofdadres;Gebruiksdoel;Feitelijk gebruik;Oppervlakte (m2);Objecttype;Verblijfsobjectstatus;Openbareruimte-identificatie;Pandidentificatie;Verblijfsobjectidentificatie;Ligplaatsidentificatie;Standplaatsidentificatie;Nummeraanduidingidentificatie
Casablancaweg;16;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;111813;490848;52,4037629;4,7525872;;BEST-industriefunctie;bedrijf;7130;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012160691'];0363010001988428;;;0363200001988246
Coenhavenweg;6;B;;1013BL;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD09;119383;490680;52,4027967;4,8638385;;BEST-overige gebruiksfunctie ;bedrijf;865;Verblijfsobject;Verblijfsobject in gebruik;0363300000003117;['0363100012099217'];0363010001989455;;;0363200001989418
Sardiniëweg;8;;;1044AE;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB46;116157;490307;52,3992256;4,8164801;;BEST-industriefunctie;bedrijf;2181;Verblijfsobject;Verblijfsobject in gebruik;0363300000005420;['0363100012241631'];0363010001993748;;;0363200001992688
Gyroscoopweg;2;N;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB55;117850;489955;52,3961794;4,8413934;;BEST-industriefunctie;kantoor (hoofdcode);1;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012076045'];0363010001993754;;;0363200001992694
Stromboliweg;22;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114771;492816;52,4216748;4,7958243;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003692115;;0363200003692055
Stromboliweg;24;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114772;492806;52,4215910;4,7958392;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003692116;;0363200003692056
Stromboliweg;30;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114771;492747;52,4210593;4,7958371;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003692118;;0363200003692086
Danzigerkade;3;E;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD41;120356;489975;52,3965230;4,8782082;;BEST-kantoorfunctie;kantoor (hoofdcode);175;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012129144'];0363010003695996;;;0363200003695586
Fosfaatweg;48;;;1013BM;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD17;119876;491018;52,4058662;4,8710471;;BEST-kantoorfunctie;bedrijf;2226;Verblijfsobject;Verblijfsobject in gebruik;0363300000002894;['0363100012101812'];0363010003684838;;;0363200003683683
Haparandaweg;77;;;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120336;489864;52,3955242;4,8779259;;BEST-overige gebruiksfunctie ;;772;Verblijfsobject;Verblijfsobject gevormd;0363300000003337;['0363100012238476'];0363010003684909;;;0363200003683743
Danzigerbocht;2;;;1013AN;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120329;489889;52,3957484;4,8778204;;BEST-overige gebruiksfunctie ;kantoor (hoofdcode);722;Verblijfsobject;Verblijfsobject gevormd;0363300000003194;['0363100012238476'];0363010003684911;;;0363200003683745
Stromboliweg;6;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114817;492881;52,4222651;4,7964935;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003688201;;0363200003688141
Stromboliweg;14;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114907;492861;52,4220935;4,7978175;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003688205;;0363200003688145
Stromboliweg;28;;;1045AP;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114769;492757;52,4211523;4,7958020;;;;;Ligplaats;Plaats aangewezen;0363300003682812;;;0363020003701282;;0363200003701062
Basisweg;40;;;1043AP;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117076;489516;52,3921811;4,8300718;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000002488;['0363100012109409'];0363010011117332;;;0363200011117030
Petroleumhavenweg;4;;;1041AC;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC26;118785;491196;52,4073950;4,8549960;;BEST-industriefunctie;;54;Verblijfsobject;Verblijfsobject in gebruik;0363300000004355;['0363100012237837'];0363010011266351;;;0363200011266162
Haparandaweg;67;A;5;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120283;489819;52,3951164;4,8771519;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266498;;;0363200011266304
Haparandaweg;67;A;9;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120283;489819;52,3951164;4,8771519;;BEST-industriefunctie;studiogebouw;48;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266501;;;0363200011266308
Haparandaweg;67;C;1;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120294;489828;52,3951980;4,8773125;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266516;;;0363200011266318
Haparandaweg;67;C;3;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120294;489828;52,3951980;4,8773125;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266518;;;0363200011266320
Haparandaweg;67;C;9;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120294;489828;52,3951980;4,8773125;;BEST-industriefunctie;studiogebouw;78;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011266524;;;0363200011266326
Haparandaweg;67;D;2;1013BD;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD40;120299;489832;52,3952343;4,8773856;;BEST-industriefunctie;studiogebouw;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003337;['0363100012238475'];0363010011290306;;;0363200011266328
Danzigerkade;23;B;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120234;490374;52,4001012;4,8763745;;BEST-kantoorfunctie;kantoor (hoofdcode);1200;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012241048'];0363010011290736;;;0363200011290608
Hornweg;63;;;1044AN;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB59;115567;490187;52,3981051;4,8078257;;BEST-industriefunctie;overig bedrijf;2016;Verblijfsobject;Verblijfsobject in gebruik;0363300000003596;['0363100012239305'];0363010011876816;;;0363200011877350
Hornweg;69;;;1044AN;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB59;115649;490410;52,4001151;4,8090043;;BEST-industriefunctie;overig bedrijf;2016;Verblijfsobject;Verblijfsobject in gebruik;0363300000003596;['0363100012239303'];0363010011876819;;;0363200011877353
Oceanenweg;22;;;1047BB;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA13;113011;491425;52,4090414;4,7701181;;BEST-kantoorfunctie;;519;Verblijfsobject;Verblijfsobject in gebruik;0363300000005447;['0363100012239121'];0363010011915088;;;0363200011915206
Beiraweg;2;;;1047HN;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;111757;491162;52,4065804;4,7517239;;BEST-industriefunctie;opslag / distributie;10895;Verblijfsobject;Verblijfsobject in gebruik;0363300000002021;['0363100012239100'];0363010011909568;;;0363200011909784
Kajuitweg;1;;;1041AP;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC04;116916;491907;52,4136583;4,8274500;;BEST-industriefunctie;bedrijf;3347;Verblijfsobject;Verblijfsobject in gebruik;0363300000003943;['0363100012115202'];0363010000696583;;;0363200000158330
Kajuitweg;2;;;1041AR;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC04;116893;491851;52,4131534;4,8271183;;BEST-industriefunctie;bedrijf;16961;Verblijfsobject;Verblijfsobject in gebruik;0363300000003943;['0363100012087938'];0363010000696584;;;0363200000158331
Pier Azië;10;;;1013BT;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD09;119549;491024;52,4058991;4,8662413;;BEST-overige gebruiksfunctie ;;1;Verblijfsobject;Verblijfsobject gevormd;0363300000002203;['0363100012217961'];0363010012061480;;;0363200012061553
Zekeringstraat;50;;;1014BT;;Westpoort;B;;;Westelijk Havengebied;B10;Alfa-driehoek;B10b;DG04;118291;490025;52,3968382;4,8478646;;BEST-kantoorfunctie;kantoor in bedrijfsverzamelgebouw;1221;Verblijfsobject;Verblijfsobject in gebruik (niet ingemeten);0363300000001755;['0363100012093688'];0363010012063853;;;0363200012063985
Moermanskkade;85;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119944;490205;52,3985639;4,8721313;;BEST-industriefunctie;kantoor (hoofdcode);738;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012239306'];0363010012064025;;;0363200012064161
Moermanskkade;97;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119938;490227;52,3987613;4,8720408;;BEST-overige gebruiksfunctie ;kantoor (hoofdcode);14;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012239306'];0363010012064031;;;0363200012064167
Capriweg;40;;;1044AL;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB52;115517;492085;52,4151590;4,8068677;;BEST-industriefunctie;laboratorium;2059;Verblijfsobject;Verblijfsobject in gebruik;0363300000001341;['0363100012239461'];0363010012063314;;;0363200012063438
Danzigerkade;13;A;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120284;490216;52,3986844;4,8771255;;BEST-overige gebruiksfunctie ;parkeergarage geëxploiteerd voor kortparkeren;667;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012246426'];0363010012065373;;;0363200012065543
Australiëhavenweg;112;;;1046BR;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;;114742;490367;52,3996629;4,7956832;;BEST-bijeenkomstfunctie;café / bar / restaurant;138;Verblijfsobject;Verblijfsobject in gebruik (niet ingemeten);0363300000005593;['0363100012239945'];0363010012065280;;;0363200012065449
Nieuwe Hemweg;101;;;1041AL;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB56;118043;490722;52,4030856;4,8441444;;BEST-kantoorfunctie;kantoor (hoofdcode);207;Verblijfsobject;Verblijfsobject in gebruik;0363300000003906;['0363100012239948'];0363010012065552;;;0363200012065724
Petroleumhavenweg;50;;;1041AC;;Westpoort;B;;;Westelijk Havengebied;B10;Petroleumhaven;B10c;DC29;119013;491942;52,4141144;4,8582664;;BEST-kantoorfunctie;kantoor (hoofdcode);2496;Verblijfsobject;Verblijfsobject gevormd;0363300000004355;['0363100012240014'];0363010012066726;;;0363200012066904
Westerhoofd;20;;;;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;119225;491585;52,4109199;4,8614204;;BEST-overige gebruiksfunctie ;trafo;1080;Verblijfsobject;Verblijfsobject in gebruik;0363300000004850;['0363100012239977'];0363010012066100;;;0363200012066276
Durbanweg;35;;;1047HD;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA35;110968;491162;52,4065177;4,7401298;;BEST-industriefunctie;opslag / distributie;7163;Verblijfsobject;Verblijfsobject in gebruik;0363300000002041;['0363100012239990'];0363010012066370;;;0363200012066546
Moermanskkade;105;;;1013BC;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;119902;490283;52,3992623;4,8715060;;BEST-overige gebruiksfunctie ;overig bedrijf;2199;Verblijfsobject;Verblijfsobject in gebruik;0363300000006027;['0363100012240348'];0363010012068183;;;0363200012068375
Kompasweg;23;;;1042AK;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB03;116552;491225;52,4075036;4,8221784;;BEST-industriefunctie;bedrijf;7590;Verblijfsobject;Verblijfsobject in gebruik;0363300000004029;['0363100012123854'];0363010000709190;;;0363200000170207
Danzigerbocht;39;P;;;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120077;490069;52,3973502;4,8740995;;BEST-kantoorfunctie;;221;Verblijfsobject;Verblijfsobject gevormd;0363300000003194;['0363100012250251'];0363010012126254;;;0363200012128147
Danzigerbocht;39;K;;;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120079;490070;52,3973593;4,8741288;;BEST-kantoorfunctie;;227;Verblijfsobject;Verblijfsobject gevormd;0363300000003194;['0363100012250251'];0363010012126250;;;0363200012128143
Koivistokade;52;;;;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120071;490079;52,3974397;4,8740103;;BEST-overige gebruiksfunctie ;;6;Verblijfsobject;Verblijfsobject gevormd;0363300000006026;['0363100012250251'];0363010012126241;;;0363200012128134
Danzigerbocht;39;G;;;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD25;120077;490070;52,3973591;4,8740994;;BEST-kantoorfunctie;;229;Verblijfsobject;Verblijfsobject gevormd;0363300000003194;['0363100012250251'];0363010012126248;;;0363200012128141
Accraweg;25;;;1047HJ;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA19;111945;491461;52,4092823;4,7544481;;BEST-overige gebruiksfunctie ;bedrijf;5212;Verblijfsobject;Verblijfsobject in gebruik;0363300000001076;['0363100012068390'];0363010001043408;;;0363200000522897
Moezelhavenweg;29;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116343;489754;52,3942689;4,8192766;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012111493'];0363010001169521;;;0363200000525560
Moezelhavenweg;45;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116366;489782;52,3945221;4,8196112;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012100083'];0363010001169529;;;0363200000525568
Moezelhavenweg;53;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116334;489783;52,3945289;4,8191410;;BEST-overige gebruiksfunctie ;bedrijf;205;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012099470'];0363010001169533;;;0363200000525572
Moezelhavenweg;55;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116335;489792;52,3946098;4,8191547;;BEST-overige gebruiksfunctie ;bedrijf;205;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012135068'];0363010001169534;;;0363200000525573
Moezelhavenweg;57;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116342;489792;52,3946103;4,8192575;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012138857'];0363010001169535;;;0363200000525574
Moezelhavenweg;59;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116350;489792;52,3946109;4,8193750;;BEST-overige gebruiksfunctie ;bedrijf;80;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012066037'];0363010001169536;;;0363200000525575
Moezelhavenweg;71;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116311;489780;52,3945003;4,8188035;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012071832'];0363010001169542;;;0363200000525581
Moezelhavenweg;75;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116311;489765;52,3943655;4,8188052;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012113277'];0363010001169544;;;0363200000525583
Moezelhavenweg;81;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116311;489743;52,3941677;4,8188077;;BEST-overige gebruiksfunctie ;bedrijf;83;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012103359'];0363010001169547;;;0363200000525586
Moezelhavenweg;103;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116304;489794;52,3946256;4,8186990;;BEST-overige gebruiksfunctie ;bedrijf;100;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012086313'];0363010001169558;;;0363200000525597
Moezelhavenweg;105;;;1043AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF02;116310;489794;52,3946260;4,8187872;;BEST-overige gebruiksfunctie ;bedrijf;100;Verblijfsobject;Verblijfsobject in gebruik;0363300000003796;['0363100012132095'];0363010001169559;;;0363200000525598
Gyroscoopweg;10;;;1042AB;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB25;117834;490302;52,3992968;4,8411199;;BEST-overige gebruiksfunctie ;;1254;Verblijfsobject;Verblijfsobject in gebruik;0363300000003773;['0363100012166446'];0363010001170688;;;0363200000525097
Westhavenweg;105;E;;1042BB;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116625;492279;52,4169812;4,8231306;;BEST-overige gebruiksfunctie ;bedrijf;103;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012240414'];0363010001964505;;;0363200001964298
Westhavenweg;109;A;;1042BB;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116590;492312;52,4172753;4,8226123;;BEST-overige gebruiksfunctie ;bedrijf;114;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012240394'];0363010001964563;;;0363200001964326
Westhavenweg;109;E;;1042BB;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DC31;116613;492317;52,4173219;4,8229498;;BEST-overige gebruiksfunctie ;bedrijf;103;Verblijfsobject;Verblijfsobject in gebruik;0363300000004857;['0363100012240398'];0363010001964568;;;0363200001964329
Siciliëweg;36;;;1045AS;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA01;114082;492976;52,4230613;4,7856679;;BEST-industriefunctie;bedrijf;11223;Verblijfsobject;Verblijfsobject in gebruik;0363300000002199;['0363100012157120'];0363010001964493;;;0363200001964362
Deccaweg;20;;;1042AD;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB21;117598;490327;52,3995055;4,8376497;;BEST-industriefunctie;bedrijf;3184;Verblijfsobject;Verblijfsobject in gebruik;0363300000005654;['0363100012108889'];0363010000892238;;;0363200000349804
Deccaweg;27;;;1042AE;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB20;117646;490501;52,4010725;4,8383356;;BEST-industriefunctie;opslag / distributie;3145;Verblijfsobject;Verblijfsobject in gebruik;0363300000005654;['0363100012081801'];0363010000892245;;;0363200000349811
Deccaweg;32;;;1042AD;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB21;117728;490681;52,4026958;4,8395204;;BEST-industriefunctie;bedrijf;8461;Verblijfsobject;Verblijfsobject in gebruik;0363300000005654;['0363100012097403'];0363010000892246;;;0363200000349812
Danzigerkade;27;;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120219;490408;52,4004058;4,8761506;;BEST-bijeenkomstfunctie;opslag / distributie;817;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012132481'];0363010001041221;;;0363200000527250
Nieuw-Zeelandweg;46;;;1045AM;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA29;115046;490533;52,4011769;4,8001300;;BEST-kantoorfunctie;bedrijf;1066;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012069651'];0363010001164201;;;0363200000527346
Danzigerkade;42;A;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;;120312;490278;52,3992442;4,8775407;;;;;Ligplaats;Plaats aangewezen;0363300000003195;;;0363020001043083;;0363200000529576
Nieuw-Zeelandweg;4;;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115235;491462;52,4095397;4,8027968;;BEST-overige gebruiksfunctie ;bedrijf;162;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012144897'];0363010001166435;;;0363200000530732
Isarweg;8;;;1043AK;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Zuid;B10h;DF07;117036;489642;52,3933107;4,8294699;;BEST-industriefunctie;kantoor (hoofdcode);3817;Verblijfsobject;Verblijfsobject in gebruik;0363300000003639;['0363100012104244'];0363010000678099;;;0363200000531496
Danzigerkade;19;;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120245;490350;52,3998862;4,8765386;;BEST-kantoorfunctie;kantoor (hoofdcode);2656;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012076680'];0363010001165149;;;0363200000533894
Danzigerkade;9;B;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120302;490154;52,3981283;4,8773964;;BEST-kantoorfunctie;kantoor (hoofdcode);204;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165891;;;0363200000536140
Danzigerkade;9;E;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120302;490152;52,3981104;4,8773966;;BEST-kantoorfunctie;kantoor (hoofdcode);548;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165894;;;0363200000536143
Danzigerkade;9;H;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120303;490149;52,3980835;4,8774116;;BEST-woning;woning;69;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165897;;;0363200000536146
Danzigerkade;9;L;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120303;490147;52,3980655;4,8774118;;BEST-kantoorfunctie;kantoor (hoofdcode);64;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165899;;;0363200000536148
Danzigerkade;9;N;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD42;120304;490145;52,3980476;4,8774267;;BEST-kantoorfunctie;kantoor (hoofdcode);75;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012159057'];0363010001165901;;;0363200000536150
Nieuw-Zeelandweg;16;A;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115150;490841;52,4039525;4,8016215;;BEST-kantoorfunctie;bedrijf;149;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012110055'];0363010001166428;;;0363200000536714
Nieuw-Zeelandweg;16;B;;1045AL;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA24;115155;490839;52,4039349;4,8016952;;BEST-industriefunctie;bedrijf;300;Verblijfsobject;Verblijfsobject in gebruik;0363300000001096;['0363100012110055'];0363010001166429;;;0363200000536715
Donauweg;16;;;1043AJ;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DF06;117162;489730;52,3941102;4,8313110;;BEST-industriefunctie;bedrijf;1;Verblijfsobject;Verblijfsobject in gebruik;0363300000005601;['0363100012154524'];0363010000883427;;;0363200000341438
Kwadrantweg;9;;;1042AG;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB14;117235;490442;52,4005141;4,8323033;;BEST-kantoorfunctie;bedrijf;11303;Verblijfsobject;Verblijfsobject in gebruik;0363300000004108;['0363100012097357'];0363010001168858;;;0363200000539566
Danzigerkade;25;A;;1013AP;;Westpoort;B;;;Westelijk Havengebied;B10;Coenhaven/Mercuriushaven;B10a;DD43;120227;490389;52,4002356;4,8762701;;BEST-overige gebruiksfunctie ;kantoor (hoofdcode);792;Verblijfsobject;Verblijfsobject in gebruik;0363300000003195;['0363100012132481'];0363010001172676;;;0363200000542790
Siciliëweg;2;;;1045AS;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA02;114871;492224;52,4163614;4,7973564;;BEST-woning;woning;88;Verblijfsobject;Verblijfsobject in gebruik;0363300000002199;['0363100012096024'];0363010000673300;;;0363200000135254
Hornweg;20;;;1045AR;;Westpoort;B;;;Westelijk Havengebied;B10;Amerikahaven;B10f;DA04;115240;492028;52,4146268;4,8028032;;BEST-overige gebruiksfunctie ;dienstverlening openbaar nut;363;Verblijfsobject;Verblijfsobject in gebruik;0363300000003596;['0363100012132363'];0363010000673305;;;0363200000135260
Lipariweg;6;;;1044AM;;Westpoort;B;;;Westelijk Havengebied;B10;Westhaven Noord;B10d;DB44;115555;491663;52,4113692;4,8074759;;BEST-industriefunctie;bedrijf;24636;Verblijfsobject;Verblijfsobject in gebruik;0363300001964262;['0363100012242031'];0363010001964643;;;0363200001964443
Casablancaweg;18;;;1047HP;;Westpoort;B;;;Westelijk Havengebied;B10;Afrikahaven;B10g;DA30;111845;490994;52,4050775;4,7530386;;BEST-industriefunctie;bedrijf;6099;Verblijfsobject;Verblijfsobject in gebruik;0363300000002033;['0363100012157316'];0363010001988429;;;0363200001988247
Donauweg;3;A;;1042AR;;Westpoort;B;;;Westelijk Havengebied;B10;Vervoerscentrum;B10e;DB55;117757;489981;52,3964067;4,8400242;;BEST-onderwijsfunctie;beroepsonderwijs  (LBO / MBO);17994;Verblijfsobject;Verblijfsobject in gebruik;0363300000005601;['0363100012080581'];0363010001987425;;;0363200001987355
